spp;local;site;ind;latitude;longitude;sampler;collaborator;fixation;month;year;TL_mm;SL_mm;weight_g;intestine_mm;QI;mean_temp;mouth_volume;fullness;ni_algae;bivalve;ceramiales;cladophorales;copepoda;corallinales;dictyotales;ectocarpales;eggs;fish_scale;gastropoda;gelidiales;hexacorallia;insect;sediment;polychaeta;ulvales;plastic;organic_detritus;total
ophioblennius_sp1;sc;pantano_do_sul;504;-27,786395;-48,507818;lucas_nunes;alana_fraga;formaldehyde;june;2015;145,8;117;21,19;264;1,8107;24,1;115;4;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;4;0,03;164;168,53
ophioblennius_sp1;sc;pantano_do_sul;505;-27,786395;-48,507818;lucas_nunes;alana_fraga;formaldehyde;june;2015;154,2;127,5;43,9;365;2,36706;24,1;197;3;0;0;0;3;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;89;92,2
ophioblennius_sp1;sc;pantano_do_sul;506;-27,786395;-48,507818;lucas_nunes;alana_fraga;formaldehyde;june;2015;128;103;22,64;424;3,3125;24,1;na;4;0;1;5;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0,03;304;316,03
ophioblennius_sp1;sc;pantano_do_sul;507;-27,786395;-48,507818;lucas_nunes;alana_fraga;formaldehyde;june;2015;145;123;33,91;530;3,65517;24,1;na;4;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;622;627,5
ophioblennius_sp1;sc;pantano_do_sul;508;-27,786395;-48,507818;lucas_nunes;alana_fraga;formaldehyde;june;2015;146;114;27,06;310;2,12329;24,1;125;3;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;18;0;0;0;123;141,1
ophioblennius_trinitatis;salvador;porto_da_barra;162;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;120;97,6;13,99;260,4;2,17;27;52;3;0;0,5;0;0;0;0;0;4,6;11;0;0;0;0;0;49;0;0;0,06;66;131,16
ophioblennius_trinitatis;salvador;porto_da_barra;163;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;134;104,4;16,55;369,7;2,75896;27;88;4;0;0;0;0;0;18;0;0;0;0;0;0;0;0;49;0;0;0,05;157;224,05
ophioblennius_trinitatis;salvador;porto_da_barra;164;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;94;76,8;7,64;265,9;2,82872;27;30;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;1;0,1;51;92,1
ophioblennius_trinitatis;salvador;porto_da_barra;165;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;117,6;96,3;16,1;362,2;3,07993;27;53;4;0;0;0;0;0,3;7,5;0;0;0;0;0;0;0;0;233;0;0;0,17;271;511,97
ophioblennius_trinitatis;salvador;porto_da_barra;166;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;123,5;98,2;15,64;366,5;2,96761;27;97;4;0;1,5;0;0;0,8;0;0;15;0;0;0;0;0;1;0;0;0;0,1;239;257,4
ophioblennius_trinitatis;salvador;porto_da_barra;167;-13,009057;-38,533941;anchieta_nunes;alana_fraga;formaldehyde;may;2016;118,9;95,5;13,9;230,6;1,93944;27;96;4;0;1;0;0;0,5;14;0;0;5;0;0;0;0;0;134;0,4;0;0,01;45;199,91
